File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,cJSON
/testfiles/json-invalid-mult/7823.json,1671,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/61ed50ddb083489a855ffc9ecadbc352.json,200,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/7d30ab656b174d16a3ab3ac4342b3f3a.json,456,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/8772.json,326,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/1116.json,24,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/f8f0e3fd5d5342aea6b437ea5daef277.json,2116,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6241.json,258,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/258.json,140,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/4992.json,266,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7923.json,129,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/4310.json,1038,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/e49ddfd8c7bc4f879c241d331079f643.json,592,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5779.json,547,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6234.json,375,,The process terminated with exit code 139
/testfiles/json-invalid-realworld/294.json,20,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/4838.json,75,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/2322.json,1252,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/6048.json,481,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/0d1978082ea9446c8b3d9497830077f3.json,637,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5899.json,15,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7576.json,499,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/6010.json,571,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/84608521a9914df9b403ab834bdb4694.json,267,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7871.json,228,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/255.json,844,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/912.json,113,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/5200.json,369,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5783.json,409,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2014.json,1163,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2322.json,1250,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/263.json,107,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/7278.json,255,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/264.json,20,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6542.json,1521,,
/testfiles/json-invalid-single/2466.json,1563,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/8216.json,164,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7823.json,1665,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/8161.json,16,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/8714.json,191,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/5096.json,175,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/3ab2fd46c83c4fc8b4ad2bdb7b511d12.json,588,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/2355.json,868,,Reported an incorrect input with exit code 1
