File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,TinyC
/testfiles/tinyc-invalid/6f9c587b4522aa6650fd1b24c88b01f4.c,42,,The process terminated with exit code 5
/testfiles/tinyc-invalid/742bc6bbe2584eb50e081bc89a65a458.c,13066,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/df2635637298a79cfe3ef6262492ce1f.c,3,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7c13451d15cbbd6b07ac34e1abde0fe9.c,110,,Reported Incomplete
/testfiles/tinyc-invalid/638dc7579d92246591137fbe181a5d63.c,3,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/613a2a465a0df3040fc535fe03cba426.c,18,,The process terminated with exit code 3
/testfiles/tinyc-invalid/6c029860d911612e02a819d9cd1880ae.c,36,,Reported Incomplete
/testfiles/tinyc-invalid-single/f6cc4e6f67c806376fb4596a9b7f3227.c,6,,Reported Incomplete
/testfiles/tinyc-invalid/68e49626e2bd12c4577a6a95ef13c684.c,145,,Reported Incomplete
/testfiles/tinyc-invalid/7bc069de87d447560845bad81ff31095.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e273975e2715ff5d2f3ff1040c5f28cb.c,7,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7cf4a7d27f4ef682ea73b4a979d6a487.c,16,,The process terminated with exit code 3
/testfiles/tinyc-invalid/7ad5e354237fba5680fb9d589fc22140.c,31636,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7c4fae3e106d9204c6dd9b6d86af3704.c,32095,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/73439c3c50893dcf8f2ec2d5ca3f695c.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/787ac4aab6bca979a250d1a63a66a2c6.c,241,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6657a89807c5bb689a4dec428dc9f0ee.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6ee194bd6acf47d61e58af7d4ffdfed3.c,2,,Reported Incomplete
/testfiles/tinyc-invalid-mult/dcab71d568275d772047cbab47a97311.c,9,,The process terminated with exit code 9
/testfiles/tinyc-invalid/6a2e1901f818d33558714e9b7832b099.c,17216,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/646ee98772dda64ebd856008d30f5ff2.c,77,,Reported Incomplete
/testfiles/tinyc-invalid-mult/f9210dbac1e064902126801e05c2c33f.c,47,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/70a4f71362430d48e2f745fa3b5f6283.c,1115,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7ecb7ed713422cacadce99240442536b.c,23,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/ec6295b3be871c32fb13d09ec44ecc12.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/ebaabc8938b058e8663af28e1fc377e8.c,40,,The process terminated with exit code 7
/testfiles/tinyc-invalid-single/e250bce557c54aed4fd5b49489e6741c.c,19,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/78708c8c51f95dd6d6baa4ea3bf973d8.c,26,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6144d3abfd2e8388d8431352df475130.c,130,,Reported Incomplete
/testfiles/tinyc-invalid/6831e9fee717e12d1871fa24c65e2f9b.c,39,,Reported Incomplete
/testfiles/tinyc-invalid/77edda1d164018b7c8ae781b4ddca1a0.c,88,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6e9742373d238de9947c5b3222fe64a3.c,19,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/ebe8997df416bfe3763fbb6b3d806801.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7d41848c1829bf494167e4d6cf3f92b6.c,16,,The process terminated with exit code 2
/testfiles/tinyc-invalid/7cdf28d30d4bf33d2c18f99e50cdd7da.c,72,,Reported Incomplete
/testfiles/tinyc-invalid-mult/f8d3fe0c7f9995c1cbde303dbe111eba.c,7,,Reported an incorrect input with exit code 1
